Inmobiliaria;Código;Fecha Scraping;Título;Precio;Dirección;URL;URL Imagen
Lanzillotto Propiedades;LHO6526882;2025-02-14 01:40:17;Casa en Venta en Lanús Este, Lanús;USD48.000;Hector Guidi al 800;https://www.lanzillottoprop.com.ar/p/6526882-Casa-en-Venta-en-Lan%C3%BAs-Este-Hector-Guidi-al-800;https://static.tokkobroker.com/w_pics/6526882_109459543274785410541266425380406099222673891789618284947702127037120261928201.jpg
Lanzillotto Propiedades;LHO4503557;2025-02-14 01:40:17;Casa en Venta en Lanús Este, Lanús;USD79.000;Eva Perón Nº al 1600;https://www.lanzillottoprop.com.ar/p/4503557-Casa-en-Venta-en-Lan%C3%BAs-Este-Eva-Per%C3%B3n-N%C2%BA-al-1600;https://static.tokkobroker.com/water_pics/95002331560620161022804910493827110470007032906478374735783902374297682305233.jpg
Lanzillotto Propiedades;LHO6046867;2025-02-14 01:40:17;Casa en Venta en Lanús Este, Lanús;USD75.000;Gral Nazar  al 500;https://www.lanzillottoprop.com.ar/p/6046867-Casa-en-Venta-en-Lan%C3%BAs-Este-Gral-Nazar--al-500;https://static.tokkobroker.com/w_pics/6046867_36086302591540821750508324257448665876497944289957830614397737910512289509231.jpg
Lanzillotto Propiedades;LHO1046185;2025-02-14 01:40:17;Casa en Venta en Lanús Este, Lanús;USD75.000;Pringles al 2400 RESERVADO;https://www.lanzillottoprop.com.ar/p/1046185-Casa-en-Venta-en-Lan%C3%BAs-Este-Pringles-al-2400-RESERVADO;https://static.tokkobroker.com/w_pics/1046185_71243213877658809069279757470258505465987108069522327643593752661636512892676.jpg
Lanzillotto Propiedades;LHO2292113;2025-02-14 01:40:17;Casa en Venta en Lanús, G.B.A. Zona Sur;USD75.000;A. Illia y Cordoba;https://www.lanzillottoprop.com.ar/p/2292113-Casa-en-Venta-en-Lan%C3%BAs-A.-Illia-y-Cordoba;https://static.tokkobroker.com/water_pics/89773356000451188993453615950963722535241010477182061480725381938929267037017.jpg
CORDOMI Propiedades;CLA4814943;2025-02-14 01:40:27;Casa en Venta en Lanús Oeste, Lanús;USD62.000;Manuel Maza al 1500;https://www.cordomi.com.ar/p/4814943-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Manuel-Maza-al-1500;https://static.tokkobroker.com/pictures/42752694802850417456109580258404810042026631540011531177175585008396517793005.jpg
CORDOMI Propiedades;CHO6335870;2025-02-14 01:40:27;Casa en Venta en Remedios De Escalada, Lanús;USD48.000;Palma  al 3300;https://www.cordomi.com.ar/p/6335870-Casa-en-Venta-en-Remedios-De-Escalada-Palma--al-3300;https://static.tokkobroker.com/pictures/6335870_67598492672349097895940257410041534615896883633750345301866355786391498599662.jpg
Alicia Modenesi;203-1084::ZP-M-43855683;2025-02-14 01:40:37;Casa en Venta en Lanús Este, Lanús;USD80.000;Salta 542;https://www.aliciamodenesi.com/p/6568945-Casa-en-Venta-en-Lan%C3%BAs-Este-Salta-542;https://static.tokkobroker.com/pictures/6568945_1154491537990878164932806825028544943483050860696502330904308016631690388009.jpg
Alicia Modenesi;AHO6621351;2025-02-14 01:40:37;Casa en Venta en Lanús Oeste, Lanús;USD80.000;Talcahuano al 2400;https://www.aliciamodenesi.com/p/6621351-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Talcahuano-al-2400;https://static.tokkobroker.com/pictures/6621351_61806056867499560868414128514892400410645902695768158739949877431720984378956.jpg
Alicia Modenesi;AHO6676200;2025-02-14 01:40:37;Casa en Venta en Lanús Oeste, Lanús;USD70.000;Hector Noya 3375;https://www.aliciamodenesi.com/p/6676200-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Hector-Noya-3375;https://static.tokkobroker.com/pictures/6676200_114178656494421738119646446999780987812114265229772453609183643437797881683463.jpg
Alicia Modenesi;AHO6670391;2025-02-14 01:40:37;Casa en Venta en Lanús Este, Lanús;USD60.000;Alvear 2200 esq. F.M Esquiú;https://www.aliciamodenesi.com/p/6670391-Casa-en-Venta-en-Lan%C3%BAs-Este-Alvear-2200-esq.-F.M-Esqui%C3%BA;https://static.tokkobroker.com/pictures/6670391_59529393497339862981012512268868980912843164153120268162336303188574875931271.jpg
Alicia Modenesi;ZP-M-54749097;2025-02-14 01:40:37;Casa en Venta en Lanús Oeste, Lanús;USD75.000;Coronel Delia 2481;https://www.aliciamodenesi.com/p/6568944-Casa-en-Venta-en-Lan%C3%BAs-Oeste-Coronel-Delia-2481;https://static.tokkobroker.com/pictures/6568944_89639683732259396460520660604724590155444573542473487543791254201602758563124.jpg
BILCIC;ZP-M-54658682;2025-02-14 01:40:46;Casa en Venta en Remedios De Escalada, Lanús;USD68.000;Ugarte 4000;https://www.bilcic.com/p/6682451-Casa-en-Venta-en-Remedios-De-Escalada-Ugarte-4000;https://static.tokkobroker.com/pictures/6682451_36198244157059018090026998791454936799527029118974048944621426923955604303672.jpg
BILCIC;ZP-M-54382340;2025-02-14 01:40:46;Casa en Venta en Lanús Este, Lanús;USD69.900;Pico 3400;https://www.bilcic.com/p/6682454-Casa-en-Venta-en-Lan%C3%BAs-Este-Pico-3400;https://static.tokkobroker.com/pictures/6682454_52780642930957253254187777327089597583553178983732002520371384984417771581084.jpg
